timestep,reward
57,0.04
2426,0.1
4971,0.1
7409,0.06
9781,0.04
12266,0.08
14667,0.02
16965,0.04
19477,0.02
22037,0.12
24548,0.1
27128,0.12
29654,0.06
32146,0.06
34732,0.1
37176,0.0
39681,0.04
42141,0.02
44691,0.0
47088,0.1
49481,0.06
51848,0.2
54292,0.1
56766,0.1
59324,0.16
61735,0.04
64238,0.08
66642,0.08
69241,0.12
71775,0.08
74351,0.02
76862,0.02
79447,0.12
81881,0.08
84276,0.02
86829,0.12
89040,0.0
91520,0.0
93911,0.02
96356,0.04
98813,0.06
101230,0.06
103663,0.08
106096,0.0
108537,0.02
111084,0.0
113575,0.08
115995,0.18
118514,0.08
120940,0.02
123435,0.1
126049,0.12
128617,0.08
131125,0.08
133611,0.1
136197,0.1
138632,0.1
141109,0.16
143590,0.14
146091,0.08
148563,0.1
151083,0.18
153667,0.12
156056,0.1
158462,0.08
160994,0.08
163464,0.1
165957,0.02
168323,0.12
170890,0.12
173356,0.1
175806,0.08
178240,0.12
180760,0.06
183299,0.04
185671,0.16
188153,0.1
190688,0.08
193214,0.02
195535,0.16
197992,0.1
200429,0.12
202888,0.06
205430,0.06
207966,0.04
210375,0.04
212869,0.02
215156,0.02
217444,0.0
219860,0.0
222193,0.02
224673,0.0
227255,0.02
229699,0.0
232324,0.1
234893,0.04
237518,0.0
239972,0.0
242445,0.0
244730,0.02
247068,0.04
249515,0.0
252094,0.02
254544,0.0
256879,0.0
259295,0.0
261638,0.0
263902,0.0
266186,0.0
268465,0.0
271012,0.0
273199,0.0
275631,0.02
277935,0.06
280327,0.1
282856,0.02
285297,0.02
287696,0.06
290298,0.06
292772,0.04
295113,0.04
297529,0.02
299986,0.12
302596,0.06
304975,0.04
307394,0.04
309778,0.06
312330,0.08
314710,0.14
317163,0.06
319595,0.04
322066,0.08
324467,0.06
326929,0.08
329402,0.08
331889,0.04
334258,0.04
336743,0.08
339182,0.06
341585,0.04
344130,0.04
346601,0.06
348969,0.08
351461,0.16
353919,0.08
356504,0.08
359052,0.1
361700,0.1
364133,0.1
366591,0.14
369186,0.1
371595,0.12
374097,0.08
376637,0.1
379194,0.04
381624,0.08
384157,0.12
386647,0.12
389146,0.02
391609,0.14
394144,0.1
396546,0.08
