timestep,reward
57,0.0
4922,0.1
9765,0.1
14611,0.3
19461,0.5
24294,0.4
29176,0.2
34057,0.4
38973,0.2
43871,0.3
48634,0.6
53305,0.2
58085,0.6
62777,0.4
67677,0.4
72515,0.3
77393,0.0
82115,0.3
86966,0.0
91777,0.4
96714,0.0
101650,0.2
106522,0.3
111380,0.2
116216,0.2
121033,0.3
126022,0.4
130844,0.4
135466,0.3
140295,0.7
145235,0.2
150268,0.3
154948,0.5
159858,0.2
164763,0.1
169769,0.1
174584,0.0
179390,0.2
184364,0.5
189216,0.5
193946,0.3
198736,0.2
203727,0.0
208430,0.2
213206,0.0
218138,0.0
222840,0.2
227816,0.3
232829,0.5
237691,0.2
242578,0.0
247565,0.0
252387,0.0
257409,0.0
262086,0.0
266997,0.2
271873,0.2
276584,0.1
281502,0.3
286321,0.4
291298,0.1
296100,0.1
300851,0.2
305573,0.5
310335,0.4
315072,0.5
319880,0.6
324658,0.1
329388,0.6
334417,0.5
339265,0.5
344058,0.7
348979,0.5
353767,0.6
358653,0.8
363581,0.1
368486,0.7
373383,0.8
378256,0.8
382986,0.8
387848,0.6
392602,0.9
397500,0.6
402106,0.8
406801,0.7
411637,0.7
416382,0.6
421341,0.7
426281,0.8
431343,0.5
436153,0.4
441022,0.9
445941,0.7
450808,0.5
455660,0.7
460503,0.6
465342,0.5
470133,0.9
474844,1.0
479698,0.8
