timestep,reward
53,0.14
4962,0.25
9966,0.3
14764,0.23
19561,0.38
24448,0.33
29499,0.24
34313,0.36
39241,0.25
44023,0.41
48722,0.38
53570,0.49
58428,0.35
63315,0.43
68182,0.43
72939,0.41
77850,0.27
82633,0.22
87554,0.28
92222,0.29
97056,0.28
102071,0.27
106877,0.29
111681,0.24
116533,0.36
121242,0.35
126326,0.39
131327,0.3
136228,0.3
140954,0.26
145834,0.46
150667,0.36
155446,0.39
160347,0.38
165371,0.41
170398,0.38
175094,0.31
179948,0.43
184874,0.31
189835,0.37
194497,0.39
199261,0.48
204191,0.4
208990,0.49
213746,0.41
218603,0.44
223370,0.52
228156,0.6
233061,0.45
237966,0.62
