timestep,reward
16,0.28
1587,0.36
3099,0.28
4607,0.34
6101,0.36
7705,0.56
9073,0.56
10551,0.46
12195,0.5
13771,0.54
15402,0.64
17090,0.5
18554,0.54
20071,0.52
21782,0.64
23273,0.44
24756,0.68
26344,0.58
28031,0.4
29439,0.56
31013,0.28
32500,0.32
34153,0.56
35628,0.54
37194,0.48
38557,0.44
40196,0.56
41730,0.6
43322,0.44
44746,0.56
46301,0.54
47937,0.62
49443,0.48
50926,0.62
52528,0.42
54052,0.5
55689,0.52
57226,0.5
58771,0.58
60416,0.46
62000,0.56
63593,0.58
64993,0.46
66519,0.6
68158,0.7
69701,0.5
71325,0.46
72942,0.46
74355,0.56
75891,0.48
77416,0.54
78931,0.5
80480,0.44
82062,0.36
83576,0.44
85117,0.46
86710,0.46
88237,0.44
89915,0.66
91409,0.52
92927,0.54
94561,0.46
96212,0.6
97828,0.54
99430,0.5
101168,0.56
102841,0.52
104481,0.44
105960,0.5
107640,0.6
109227,0.52
110859,0.52
112438,0.6
114069,0.46
115471,0.58
117197,0.5
118944,0.52
120564,0.4
122209,0.44
123821,0.48
125298,0.5
126850,0.38
128497,0.46
130053,0.52
131678,0.46
133419,0.48
135150,0.42
136876,0.4
138533,0.5
140242,0.34
141747,0.28
143405,0.26
145259,0.28
147006,0.34
148692,0.4
150218,0.44
151804,0.42
153428,0.3
155117,0.36
156696,0.48
158338,0.4
159895,0.52
161520,0.38
163096,0.36
164664,0.36
166264,0.42
167941,0.46
169636,0.48
171272,0.42
172942,0.48
174572,0.36
176148,0.46
177861,0.56
179502,0.52
181172,0.56
182679,0.42
184222,0.56
185728,0.44
187352,0.52
188907,0.26
190551,0.44
192065,0.34
193685,0.28
195268,0.4
196809,0.4
198383,0.6
200030,0.38
201736,0.4
203340,0.3
205000,0.26
206639,0.36
208215,0.36
209678,0.38
211251,0.46
212917,0.46
214474,0.52
216080,0.46
217477,0.3
219009,0.58
220539,0.36
222090,0.52
223523,0.54
225111,0.52
226676,0.42
228185,0.38
229612,0.4
231253,0.54
232946,0.4
234472,0.42
235973,0.42
237488,0.2
238977,0.3
240594,0.32
242137,0.32
243830,0.38
245443,0.38
246927,0.4
248380,0.5
250034,0.4
251595,0.46
253112,0.5
254815,0.44
256293,0.42
257809,0.48
259381,0.42
260951,0.42
262522,0.4
263941,0.34
265511,0.4
267120,0.38
268485,0.6
270056,0.38
271574,0.52
273224,0.54
274727,0.26
276223,0.52
277765,0.56
279268,0.52
280733,0.54
282297,0.48
283755,0.5
285217,0.56
286641,0.38
288191,0.56
289713,0.5
291181,0.4
292595,0.5
294014,0.44
295462,0.34
297085,0.44
298640,0.38
300231,0.4
301746,0.34
303434,0.32
305017,0.5
306523,0.32
308003,0.38
309520,0.28
310997,0.46
312681,0.4
