timestep,reward
57,0.1
2543,0.14
4961,0.08
7480,0.06
10066,0.14
12479,0.12
14970,0.06
17359,0.08
19783,0.06
22255,0.12
24686,0.16
27198,0.04
29752,0.08
32304,0.18
34761,0.1
37240,0.04
39772,0.08
42293,0.02
44758,0.06
47122,0.08
49616,0.08
52146,0.1
54559,0.2
57087,0.06
59629,0.12
62191,0.1
64711,0.06
67253,0.1
69808,0.06
72220,0.08
74714,0.06
77246,0.04
79838,0.08
82229,0.08
84662,0.06
87128,0.04
89571,0.06
91989,0.04
94353,0.08
96913,0.02
99490,0.08
102095,0.06
104462,0.06
106970,0.12
109433,0.08
111926,0.04
114417,0.12
116924,0.12
119518,0.04
122016,0.08
124569,0.06
127053,0.12
129478,0.06
131990,0.06
134634,0.12
137192,0.08
139655,0.12
142117,0.12
144604,0.02
147125,0.02
149644,0.02
152251,0.1
154704,0.1
157123,0.1
159537,0.06
162072,0.22
164394,0.04
166820,0.08
169242,0.04
171765,0.08
174282,0.1
176677,0.06
179185,0.12
181738,0.06
184217,0.02
186670,0.1
188990,0.08
191473,0.04
193935,0.06
196309,0.1
198934,0.06
201284,0.12
203726,0.08
206199,0.04
208650,0.04
210994,0.08
213398,0.08
215799,0.1
218183,0.06
220644,0.02
223076,0.12
225589,0.04
228052,0.04
230522,0.1
233024,0.06
235552,0.12
237990,0.08
240326,0.1
242801,0.06
245168,0.1
247578,0.08
250063,0.06
252571,0.1
254985,0.06
257382,0.1
259870,0.04
262354,0.12
264856,0.06
267296,0.14
269793,0.08
272326,0.06
274789,0.06
277341,0.06
279787,0.06
282246,0.14
284782,0.06
287159,0.02
289601,0.14
292215,0.08
294612,0.1
297192,0.12
299649,0.06
302132,0.18
304628,0.04
307002,0.06
309385,0.1
311795,0.04
314275,0.1
316790,0.06
319329,0.08
321713,0.06
324140,0.02
326564,0.04
328896,0.08
331276,0.12
333714,0.04
336102,0.02
338587,0.08
341057,0.02
343586,0.02
345966,0.04
348460,0.16
350980,0.1
353452,0.08
355945,0.12
358416,0.02
360904,0.06
363368,0.12
365922,0.1
368268,0.14
370817,0.08
373368,0.06
375806,0.08
378206,0.1
380676,0.04
383180,0.1
385807,0.04
388311,0.04
390660,0.1
393082,0.02
395602,0.12
398150,0.12
400685,0.1
403192,0.08
405720,0.1
408181,0.06
410641,0.04
413056,0.12
415565,0.14
418085,0.06
420470,0.04
423002,0.06
425345,0.08
427759,0.12
430298,0.02
432939,0.1
435340,0.1
437710,0.08
440231,0.08
442743,0.1
445069,0.14
447488,0.1
450017,0.06
452434,0.06
454990,0.06
457414,0.14
460017,0.04
462510,0.08
465006,0.12
467588,0.02
470021,0.0
472530,0.06
474878,0.06
477416,0.14
479912,0.06
482341,0.06
484806,0.12
487170,0.1
489627,0.12
492157,0.08
