timestep,reward
72,0.19
6274,0.04
12498,0.07
18805,0.01
25089,0.05
31315,0.02
37703,0.02
43804,0.0
49963,0.0
56503,0.0
62435,0.02
68768,0.02
74959,0.02
81521,0.0
87995,0.06
94852,0.15
101518,0.13
108219,0.37
114977,0.35
121820,0.26
128523,0.17
135105,0.26
141657,0.21
148282,0.15
154975,0.11
161716,0.23
168470,0.35
175197,0.12
181995,0.32
188677,0.35
195505,0.41
202432,0.49
209074,0.48
215709,0.44
222557,0.44
229154,0.43
235989,0.3
242647,0.4
249395,0.23
256143,0.2
262912,0.1
269487,0.01
276407,0.06
283298,0.03
289789,0.03
296465,0.02
303051,0.05
309904,0.11
316519,0.22
323256,0.24
330116,0.35
336865,0.4
343698,0.35
350661,0.04
357354,0.01
364024,0.05
370715,0.02
377460,0.04
383969,0.01
390610,0.03
397109,0.02
402775,0.0
408202,0.0
413596,0.0
418973,0.0
424100,0.0
429102,0.0
434241,0.0
439313,0.0
444653,0.0
449632,0.0
454769,0.0
460153,0.0
465270,0.0
470563,0.0
475950,0.0
481274,0.0
486478,0.0
491773,0.0
496908,0.0
502213,0.0
507242,0.0
512523,0.0
517717,0.0
522925,0.0
528169,0.0
533376,0.0
538763,0.0
544049,0.0
549226,0.0
554456,0.0
559742,0.0
565136,0.0
570313,0.0
575627,0.0
581329,0.01
587033,0.01
592763,0.03
598150,0.0
603374,0.0
608570,0.0
613903,0.0
619215,0.0
624457,0.0
629947,0.03
635441,0.04
641297,0.01
647149,0.01
652725,0.01
658533,0.04
664183,0.03
670518,0.01
675847,0.0
681340,0.0
686856,0.0
692134,0.0
697704,0.06
703946,0.02
709810,0.01
716030,0.03
721719,0.0
727166,0.0
732598,0.0
737772,0.0
743185,0.0
748383,0.0
753627,0.0
758962,0.0
764154,0.0
769414,0.0
774590,0.0
779771,0.0
785125,0.0
790236,0.0
795669,0.01
801007,0.0
806189,0.0
811942,0.0
817293,0.0
822872,0.01
828470,0.02
833998,0.01
839294,0.0
844292,0.0
849681,0.0
854823,0.0
860279,0.0
865606,0.0
870935,0.0
876276,0.0
881464,0.01
887071,0.01
892580,0.0
898011,0.0
903703,0.01
909216,0.01
915182,0.01
920976,0.04
926460,0.0
931893,0.0
937318,0.0
942936,0.01
948474,0.01
954241,0.02
960324,0.02
966338,0.08
972634,0.01
978236,0.01
984136,0.0
989749,0.0
995696,0.01
1001828,0.0
1007917,0.0
1014169,0.01
1020224,0.01
1025959,0.01
1032070,0.01
1038170,0.12
1044279,0.03
1050475,0.09
1056952,0.13
1063397,0.12
1069791,0.02
1075879,0.0
1081683,0.0
1087317,0.0
1092777,0.0
1098496,0.01
1104047,0.0
1109334,0.0
1114491,0.0
1119755,0.0
1125486,0.01
1131124,0.0
1136683,0.0
1142337,0.02
1147863,0.02
1153425,0.0
1158785,0.0
1164036,0.0
1169625,0.0
1175154,0.01
1181028,0.0
1186486,0.04
1192548,0.0
1198262,0.01
1204273,0.04
1210149,0.01
1216233,0.03
1222277,0.04
1228723,0.02
1234593,0.03
1240569,0.0
1246260,0.01
1252374,0.04
1258382,0.05
1263931,0.0
1269514,0.0
1275149,0.0
1280735,0.0
1286168,0.0
1291541,0.01
1296980,0.0
1302244,0.0
1307499,0.0
1312657,0.0
1317879,0.0
1323014,0.0
1328268,0.0
1333420,0.0
1338670,0.01
1343809,0.0
1349347,0.02
1355708,0.05
1362290,0.09
1368655,0.1
1374960,0.07
1381713,0.17
1388074,0.19
1394434,0.28
1401047,0.25
1407660,0.13
1414160,0.08
1420537,0.13
1427091,0.41
1433698,0.39
1440435,0.35
1447098,0.39
1453763,0.35
1460289,0.31
1466775,0.17
1473428,0.23
1479783,0.38
1486269,0.34
1492803,0.3
1499336,0.36
1505878,0.35
1512687,0.26
1519147,0.23
1525875,0.23
1532547,0.2
1539266,0.24
1545695,0.3
1552313,0.19
1558663,0.23
1565227,0.29
1571751,0.26
1578233,0.29
1584970,0.26
1591645,0.26
1598299,0.39
1604762,0.28
1611501,0.28
1618146,0.34
1624841,0.41
1631486,0.31
1638260,0.41
1645219,0.41
1651846,0.35
1658687,0.36
1665342,0.35
1671742,0.34
1678246,0.25
1684644,0.33
1691171,0.41
1697953,0.4
1704579,0.2
1711045,0.26
1717330,0.26
1723836,0.07
1730031,0.05
1735546,0.07
1740947,0.0
1746247,0.01
1751644,0.0
1756937,0.0
1762130,0.0
1767363,0.0
1772364,0.0
1777739,0.02
1783212,0.03
1788456,0.03
1793745,0.0
1799049,0.01
1804438,0.0
1809606,0.01
1814616,0.01
1819900,0.0
1825309,0.0
1830464,0.0
1835511,0.0
1840625,0.0
1845920,0.0
1851131,0.0
1856331,0.0
1861478,0.0
1866665,0.0
1872034,0.04
1878040,0.05
1884238,0.22
1890479,0.21
1897064,0.22
1903446,0.24
1909924,0.15
1916586,0.13
1923438,0.26
1929992,0.19
1936707,0.1
1943389,0.17
1950128,0.19
1956714,0.29
1963387,0.32
1969979,0.23
1976603,0.27
1983219,0.31
1989912,0.19
1996627,0.15
2003087,0.18
2009652,0.31
2016461,0.25
2023176,0.22
2029855,0.26
2036654,0.38
2043184,0.33
2049968,0.25
2056702,0.32
2063566,0.25
2070415,0.37
2077517,0.38
2084212,0.32
2090648,0.32
2097389,0.39
2104052,0.21
2110742,0.41
2117691,0.29
2124562,0.3
2131001,0.32
2137553,0.31
2144259,0.36
2150830,0.19
2157330,0.19
2164019,0.19
2170451,0.19
2177000,0.31
2183778,0.45
2191004,0.39
2197482,0.5
2204458,0.37
2211269,0.41
2217878,0.43
2224837,0.49
2231677,0.46
2238366,0.49
2244909,0.47
2251658,0.41
2258309,0.48
2265037,0.45
2271698,0.41
2278521,0.43
2285021,0.4
2291609,0.49
2298151,0.43
2304935,0.46
2311781,0.53
2318391,0.52
2324990,0.47
2331463,0.49
2338286,0.44
2345033,0.45
2352062,0.42
2358858,0.26
2365581,0.28
2372243,0.28
2378770,0.24
2385434,0.21
2392029,0.18
2398739,0.26
2405202,0.27
2411809,0.27
2418514,0.32
2425153,0.18
2431850,0.18
2438437,0.2
2445139,0.2
2451690,0.2
2458086,0.24
2464558,0.34
2471134,0.24
2477852,0.2
2484596,0.29
2491300,0.26
2497924,0.25
2504805,0.24
2511423,0.3
2518120,0.21
2524971,0.3
2531713,0.27
2538536,0.34
2545086,0.32
2551819,0.29
2558346,0.23
2564839,0.36
2571443,0.24
2578023,0.28
2584607,0.26
2591107,0.33
2597748,0.26
2604233,0.27
2610759,0.2
2617495,0.26
2624475,0.21
2631332,0.16
2637919,0.12
2644603,0.2
2651318,0.13
2658032,0.18
2664771,0.11
2671691,0.23
2678606,0.16
2685032,0.19
2691539,0.18
2698191,0.2
2704896,0.28
2711790,0.21
2718655,0.28
2725368,0.26
2732105,0.29
2738846,0.32
2745589,0.25
2752285,0.26
2759027,0.25
2765874,0.28
2772628,0.27
2779637,0.18
2786250,0.19
2792929,0.22
2799619,0.17
2806199,0.23
2812808,0.29
2819582,0.35
2826630,0.24
2833492,0.28
2840190,0.22
2846926,0.38
2853881,0.31
2860740,0.32
2867258,0.27
2874010,0.25
2880824,0.34
2887715,0.3
2894496,0.29
2901346,0.4
2907914,0.46
2914526,0.39
2921386,0.39
2928152,0.45
2934697,0.36
2941223,0.29
2947687,0.43
2954323,0.31
2960741,0.29
2967185,0.32
2973658,0.41
2980089,0.37
2986512,0.41
2993111,0.41
2999898,0.36
3006642,0.47
3013319,0.44
3020268,0.35
3026794,0.33
3033456,0.39
3040070,0.41
3046791,0.39
3053663,0.43
3060342,0.3
3067021,0.3
3073889,0.42
3080714,0.37
3087303,0.35
3093945,0.4
3100685,0.39
3107285,0.43
3114226,0.3
3120949,0.39
3127988,0.4
3134611,0.37
3141309,0.35
3147982,0.34
3154731,0.32
3161480,0.37
3168450,0.37
3175463,0.32
3182371,0.25
3189305,0.3
3196380,0.32
3203223,0.35
3209968,0.38
3216721,0.33
3223546,0.43
3230079,0.37
3236666,0.39
3243469,0.3
3250257,0.24
3256949,0.36
3263562,0.37
3270432,0.41
3277012,0.41
3283780,0.31
3290708,0.19
3297243,0.33
3303972,0.28
3310623,0.26
3317305,0.33
3324229,0.3
3330797,0.26
3337709,0.27
3344571,0.19
3351195,0.2
3357887,0.35
3364478,0.43
3371044,0.49
3377770,0.31
3384462,0.38
3390768,0.43
3397246,0.42
3403975,0.49
3410919,0.44
3417392,0.39
3423844,0.52
3430481,0.49
3437060,0.41
3443798,0.41
3450387,0.4
3456986,0.47
3463662,0.41
3470291,0.34
3476794,0.48
3483487,0.46
3490105,0.46
3496748,0.47
3503558,0.35
3510173,0.46
3516927,0.49
3523596,0.36
3530392,0.55
3536858,0.39
3543791,0.37
3550555,0.28
3557334,0.44
3564018,0.5
3570693,0.37
3577558,0.42
3584277,0.24
3590935,0.32
3597828,0.26
3604339,0.24
3610869,0.2
3617446,0.17
3624083,0.25
3630638,0.19
3637398,0.13
3643850,0.14
3650484,0.15
3656939,0.16
3663839,0.23
3670495,0.26
3677264,0.18
3683685,0.2
3690370,0.17
3696752,0.22
3703516,0.22
3710073,0.27
3716892,0.23
3723552,0.17
3730533,0.23
3737069,0.16
3743901,0.21
3750411,0.15
3756906,0.23
3763614,0.26
3770376,0.29
3776843,0.22
3783503,0.22
3790243,0.25
3796760,0.22
3803480,0.28
3810342,0.18
3816890,0.2
3823340,0.18
3830083,0.27
3836711,0.21
3843079,0.23
3849526,0.18
3856178,0.22
3862849,0.29
3869522,0.21
3876366,0.09
3883026,0.21
3889398,0.21
3895851,0.25
3902372,0.31
3909181,0.22
3915716,0.22
3922292,0.22
3928913,0.22
3935273,0.2
3941853,0.18
3948506,0.24
3955102,0.2
3961808,0.22
3968505,0.2
3975442,0.19
3982086,0.24
3988802,0.18
3995270,0.26
4001954,0.13
4008818,0.2
4015380,0.24
4022025,0.24
4028998,0.16
4035680,0.22
4042343,0.2
4049348,0.16
4056149,0.14
4062711,0.14
4069204,0.28
4076003,0.13
4082685,0.23
4089435,0.14
4096378,0.25
4103215,0.22
4109806,0.29
4116749,0.26
4123419,0.26
4130279,0.19
4137246,0.24
4144069,0.21
4150839,0.23
4157697,0.21
4164600,0.26
4171451,0.17
4178353,0.32
4185202,0.1
4192071,0.12
4198792,0.13
4205363,0.16
4212106,0.14
4218540,0.08
4225333,0.1
4232020,0.13
4238718,0.1
4245735,0.07
4252442,0.09
4259032,0.08
4265715,0.09
4272748,0.1
4279614,0.13
4286562,0.15
4293386,0.09
4299938,0.16
4306408,0.06
4313070,0.15
4319664,0.16
4326664,0.08
4333508,0.04
4340383,0.05
4347110,0.15
4353774,0.12
4360534,0.14
4367036,0.13
4373720,0.14
4380574,0.15
4387379,0.18
4394111,0.16
4400937,0.2
4407723,0.12
4414359,0.1
4421035,0.14
4427700,0.14
4434129,0.11
4440726,0.17
4447384,0.17
4454046,0.1
4460580,0.16
4467230,0.11
4474188,0.16
4480911,0.17
4487719,0.1
4494546,0.2
4501305,0.18
4507962,0.19
4514748,0.16
4521332,0.23
4527856,0.16
4534362,0.23
4541112,0.28
4547658,0.21
4554134,0.21
4560778,0.18
4567605,0.21
4574269,0.23
4581062,0.24
4587877,0.3
4594389,0.18
4600953,0.16
4607381,0.17
4613747,0.26
4620554,0.18
4627407,0.18
4634461,0.23
4641155,0.22
4647828,0.17
4654654,0.24
4661527,0.26
4668148,0.18
4675237,0.23
4681826,0.24
4688424,0.19
4695347,0.15
4702115,0.16
4708825,0.14
4715576,0.16
4722240,0.11
4728786,0.17
4735452,0.2
4742234,0.23
4748886,0.19
4755627,0.19
4762259,0.23
4769194,0.19
4775955,0.21
4782462,0.24
4789372,0.21
4796109,0.19
4802807,0.24
4809380,0.16
4816316,0.14
4823154,0.24
4829884,0.17
4836727,0.18
4843425,0.24
4849983,0.22
4856900,0.18
4863517,0.29
4870059,0.21
4876423,0.3
4883314,0.15
4890176,0.17
4896770,0.32
4903427,0.13
4910167,0.2
4916843,0.25
4923810,0.22
4930452,0.21
4937053,0.24
4943732,0.32
